lng,lat,time
112.87856842454507,28.10336601143071,5157.0
112.95048104670671,28.103308471905727,7252.0
113.02222922218712,28.103104393605324,3208.0
113.09409203702577,28.102999927320305,9277.0
113.16617806302388,28.103090053825962,7295.0
113.23827196675796,28.10318263259909,10417.0
112.87856277215508,28.17537195910735,5526.0
112.95047533060739,28.17531441550935,3360.0
113.02222333241083,28.175110334675875,1847.0
113.09408605023334,28.17500586481098,7276.0
113.1661721284795,28.175095985691843,5353.0
113.23826608972959,28.17518855881441,7046.0
112.87855710366283,28.24737328903623,8580.0
112.95046959818238,28.247315741366332,4121.0
113.02221742567825,28.24711165800346,1759.0
113.09408004613786,28.247007184560623,1827.0
113.166166176838,28.24709729981521,3933.0
113.23826019582951,28.247189867285684,6867.0
112.87855141901456,28.3193689713866,5474.0
112.95046384937723,28.3193114196459,3668.0
113.02221150193306,28.3191073337573,4304.0
113.094074024682,28.319002856738454,4951.0
113.16616020804263,28.319092966365282,5759.0
113.23825428500163,28.319185528182143,7655.0
112.87854571815618,28.391358198511362,7079.0
112.95045808413721,28.39130064270097,9272.0
113.0222055611187,28.3910965542903,6450.0
113.09406798580815,28.390992073697358,5973.0
113.16615422203634,28.39108217769496,8810.0
113.23824835718953,28.39117473385669,10926.0
112.87854000103336,28.46334042946177,7756.0
112.95045230240733,28.463282869582777,10968.0
113.02219960317831,28.46307877865368,9000.0
113.09406192945843,28.46297429448856,7631.0
113.16614821876183,28.46306439285547,6038.0
113.23824241233656,28.463156943360566,8470.0
113.05811589210612,28.283031925529347,0.0
